event_id,date,season,home_team,away_team_espn_id,home_n_prior,away_n_prior,home_days_rest,away_days_rest,home_b2b,away_b2b,home_off_rtg,away_off_rtg,home_def_rtg,away_def_rtg,home_net_rtg,away_net_rtg,home_pace,away_pace,home_efg_pct,away_efg_pct,home_ts_pct,away_ts_pct,home_tov_pct,away_tov_pct,home_oreb_pct,away_oreb_pct,home_dreb_pct,away_dreb_pct,home_ast_pct,away_ast_pct,home_fast_break_pts,away_fast_break_pts,home_points_in_paint,away_points_in_paint,baseline_home_points,baseline_away_points,baseline_total_points,baseline_home_margin,label_home_points,label_away_points,label_total_points,label_home_margin,label_home_win
401810901,2026-03-24T02:30Z,2026,LAC,15,10,70,2,2,0,0,120.09391136741583,110.85817678214963,118.69980959236266,122.23933584845994,1.3941017750531424,-11.381159066310325,99.00566037735848,98.38000000000002,0.5752661316287943,0.5747966026030531,0.6114798148745779,0.5928256502395037,0.12166613376333005,0.15315827537843937,0.24332473597452386,0.19290100773574248,0.6938467359912938,0.7300284466415363,0.5592457439972937,0.6287640891269042,14.7,10.9,55.8,38.6,119.58277008273828,113.27863683857441,232.8614069213127,6.3041332441638644,129.0,96.0,225.0,33.0,1
401810917,2026-03-26T02:30Z,2026,LAC,28,10,71,2,2,0,0,121.81867955664943,117.46423472474353,116.64479330973214,114.71051694748424,5.1738862469173,2.7537177772592787,99.01566037735849,99.83000000000001,0.5879706966589408,0.5737925958112247,0.6249451969275682,0.604067329260382,0.12369859040390692,0.13603356566976327,0.24031887087188455,0.2327782601593102,0.69762971259657,0.739318350896847,0.5706945788503839,0.6670149907985976,14.4,17.1,56.6,52.8,117.58201069347615,116.37891069954213,233.96092139301828,1.2030999939340177,119.0,94.0,213.0,25.0,1
401810959,2026-04-01T03:00Z,2026,LAC,22,10,76,3,3,0,0,118.58891467241115,113.66260116477682,112.81522983696429,102.75399238093803,5.773684835446852,10.908608783838805,98.29566037735849,102.77000000000001,0.5819555870799542,0.5521031005986284,0.614233840503477,0.5884155584184921,0.12948028372592083,0.18135759889718117,0.23382413871031943,0.32552315844398694,0.7202302244107068,0.7707593929056559,0.5726622538299703,0.6695524892671953,13.8,14.4,53.4,50.4,111.26114444131483,113.84228662799217,225.103431069307,-2.58114218667734,104.0,114.0,218.0,-10.0,0
401810974,2026-04-03T02:30Z,2026,LAC,24,10,77,2,1,0,1,118.00816062517124,122.46875176200213,114.37026566498977,105.5829576331311,3.637894960181461,16.885794128871016,97.4756603773585,101.44,0.5859303677817086,0.5711727133277562,0.6187776173272119,0.6058494143342339,0.13848290447963635,0.12604267537887986,0.2331376398544842,0.3061263804857431,0.7002302244107068,0.8309887866683902,0.561792688612579,0.6979539730621509,13.3,17.3,51.6,57.0,111.18943735715568,114.24414966994092,225.43358702709662,-3.0547123127852416,99.0,118.0,217.0,-19.0,0
401811011,2026-04-08T02:30Z,2026,LAC,6,10,78,2,3,0,0,118.78572359870024,110.60828955639845,112.93602032679262,120.35825913177652,5.849703271907638,-9.749969575378095,97.8756603773585,104.81792452830189,0.5894796309873139,0.5232545475699968,0.6219022025320258,0.5638296905240564,0.13590065391188838,0.1255595851745897,0.23164954461638895,0.22063827187311355,0.7156680005203754,0.7579105480787123,0.5661596948068277,0.6153476971561289,13.4,19.2,50.4,53.8,121.18237792064416,113.2774938887146,234.45987180935876,7.904884031929555,116.0,103.0,219.0,13.0,1
401811018,2026-04-09T02:00Z,2026,LAC,25,10,79,1,1,1,1,118.44138417532388,122.95259656369585,109.80415257277966,102.69498050722832,8.637231602544219,20.25761605646752,98.81566037735851,100.55528301886793,0.5854035440307921,0.596406298011708,0.6193484200864694,0.6312464298831749,0.13347701523151886,0.1327332253783567,0.22103261491768017,0.2526300060938984,0.7273871288496732,0.7676593121295492,0.5689239224491043,0.5964039263482153,15.2,17.7,49.0,49.6,106.91380169148307,112.53196169365648,219.44576338513957,-5.618160002173411,110.0,128.0,238.0,-18.0,0
401811054,2026-04-13T00:30Z,2026,LAC,9,10,81,2,2,0,0,116.12229716488139,113.6575773354916,111.30691289968948,118.72657771368833,4.8153842651919,-5.069000378196731,99.29,99.1822641509434,0.5702946138178965,0.5657741460880548,0.6058298137546513,0.6047264725045309,0.13605564623199468,0.16507561311531596,0.22705758588167554,0.25668757854976026,0.727125657864518,0.7755955204812885,0.5617974051755281,0.709796582171044,15.3,10.4,48.8,47.6,116.52746982612837,111.62302932634798,228.15049915247636,4.904440499780392,115.0,110.0,225.0,5.0,1
401810010,2025-11-03T02:30Z,2026,LAL,14,6,5,2,3,0,0,116.00326723880187,116.37122420668588,114.50806056815314,106.1456705180145,1.4952066706487273,10.225553688671397,101.7,107.42,0.586481187989332,0.5760896137880546,0.6300645609477377,0.6100973146253467,0.1758944222659027,0.14844597176611823,0.23525991023088544,0.21919350769489526,0.7164950512865004,0.7712069471337205,0.6230006105006105,0.6528843086737823,12.166666666666666,20.4,55.0,54.8,116.13946465926361,120.70369008028585,236.84315473954945,-4.564225421022243,130.0,120.0,250.0,10.0,1
401810034,2025-11-06T03:00Z,2026,LAL,24,8,6,2,3,0,0,117.63368560691134,116.54739660347424,114.3383593964808,106.49742033191642,3.295326210430547,10.04997627155785,102.0875,99.7930817610063,0.5930342656050022,0.5726145515625342,0.6333645067285958,0.6064773126247666,0.16723940811490276,0.15604922748752195,0.23309324109173213,0.3004957880588133,0.7148538668620877,0.8284212741449584,0.625687957875458,0.5738071674913781,12.5,21.0,56.75,54.0,113.11929514417072,116.5283768540017,229.64767199817243,-3.4090817098309856,118.0,116.0,234.0,2.0,1
401810108,2025-11-19T03:30Z,2026,LAL,26,10,13,3,2,0,0,115.60038824587312,110.1848546131021,113.0459924208388,118.51429694418478,2.5543958250343306,-8.329442331082682,100.05000000000001,104.12310344827586,0.5682452399345669,0.5094084790670964,0.6098600677934595,0.5618651645281314,0.16311171859429816,0.1603957091707017,0.25402830388686554,0.2929104160133648,0.757426678810748,0.7501955517380868,0.6291768989803795,0.7373984993694058,12.6,15.5,49.4,46.6,119.49980459517559,113.94433706076767,233.44414165594327,5.555467534407924,140.0,126.0,266.0,14.0,1
